Load_param,Vertical_disp,Horizontal_disp,Beam_angle
0,0,0,0
0.5,0.15755,0,0.216597996
1,0.3151,0,0.414590652
2,0.6302,0,0.721767554
3,0.9453,0,0.922573715
4,1.2604,0,1.054198789
5,1.5755,0,1.144254434
7.5,2.36325,0,1.276624827
10,3.151,0,1.347368831
