L_ratio,Load_param,Vertical_disp,Horizontal_disp,Beam_angle
2,0.0,0.0,0.0,0.0
2,0.5,0.21522471888353756,0.019369877129250423,0.27690763565967136
2,1.0,0.41152512469788394,0.07196029891944766,0.5297302670643361
2,2.0,0.720085802703289,0.23030928260292316,0.9158445249750666
2,3.0,0.9432540668739358,0.42116584887716757,1.1697705356202954
2,4.0,1.0925519639191894,0.602828498360025,1.3387643780704315
2,5.0,1.1851721925549399,0.7259552877821737,1.4363701785411755
2,7.5,1.3296165917789273,0.8729977954470602,1.530838550933172
2,10.0,1.436777638384974,0.9284514782353849,1.5559810106069392
3.0,0,0,0,0
3.0,0.5,0.1858622686912752,0.01707140383880808,0.259171237478046
3.0,1.0,0.35112702113936045,0.062001848846918804,0.49335035156010687
3.0,2.0,0.5928887688239399,0.18481963677016613,0.8475114431825579
3.0,3.0,0.7436225413173881,0.3003866185087117,1.0707762703662682
3.0,4.0,0.8472323960579109,0.39607442743912546,1.2125257427926541
3.0,5.0,0.9291428432530605,0.47992562986701487,1.3083456459672391
3.0,7.5,1.081189001175612,0.6687582386699623,1.4520080659804515
3.0,10.0,1.1718921555883657,0.7877697676947114,1.5166612875536236
5.0,0,0,0,0
5.0,0.5,0.17075519631413064,0.01624973400995202,0.24989438692116614
5.0,1.0,0.3199485439731703,0.05821392631808351,0.47343085500985954
5.0,2.0,0.5310722388873717,0.16913045014844155,0.8078935680925101
5.0,3.0,0.6567741883100551,0.27114346474574325,1.021569476476806
5.0,4.0,0.736313295389702,0.35283514635320345,1.161330808606916
5.0,5.0,0.7911815567559053,0.4171711049408067,1.2567517665696901
5.0,7.5,0.8785774806326863,0.5275052194276988,1.392544910202543
5.0,10.0,0.9387888725329608,0.601797450497419,1.4628745104141605
10,0,0,0,0
10.0,0.5,0.16431330819772985,0.015990127910156814,0.24589203689186043
10.0,1.0,0.30637614013137043,0.05685404260817908,0.4644764144632031
10.0,2.0,0.503238305050285,0.16275580964513842,0.7886564134044836
10.0,3.0,0.6173330516416122,0.2586388182887337,0.9955350570026853
10.0,4.0,0.6880628155111255,0.33565767689937615,1.1331816066167149
10.0,5.0,0.7345832877809869,0.3953414153884941,1.2269151782351668
10.0,7.5,0.800683371316895,0.4944426879642657,1.3619643386374238
10.0,10.0,0.8445142654240818,0.5674712039311344,1.4407988964864324

